ENTRY,DELTAG,UNCERTAINTY,CHARGE,REASON ENERGY COULD NOT BE ESTIMATED,,,,,,
C00001,-56.687,0.5,0,,,,,,,
C00002,-673.85,3.04314,-3,,,,,,,
C00003,-529.59,4.35693,-1,,,,,,,
C00004,-524.32,4.26795,-2,,,,,,,
C00005,-736.82,4.25788,-3,,,,,,,
C00006,-742.09,4.34706,-2,,,,,,,
C00007,3.9197,0.5,0,,,,,,,
C00008,-465.85,3.03579,-2,,,,,,,
C00009,-261.974,0.5,-2,,,,,,,
C00010,-751.994,3.45208,-3,,,,,,,
C00011,-92.26,0.5,0,,,,,,,
C00012,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00013,-480.93,0.5,-2,,,,,,,
C00014,-18.97,0.5,1,,,,,,,
C00015,-605.77,1.88724,-2,,,,,,,
C00016,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C00017,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00018,-272,1.6643,-1,,,,,,,
C00019,-66.63,3.67778,1,,,,,,,
C00020,-257.85,3.03334,-1,,,,,,,
C00021,-76.11,3.13995,0,,,,,,,
C00022,-112.69,0.300152,-1,,,,,,,
C00023,0,0.5,0,,,,,,,
C00024,-785.83,3.53441,-3,,,,,,,
C00025,-164.13,0.376755,-1,,,,,,,
C00026,-188.9,0.38211,-2,,,,,,,
C00027,-32.05,0.5,0,,,,,,,
C00028,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00029,-762.55,3.11975,-2,,,,,,,
C00030,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00031,-218.28,1.54422,0,,,,,,,
C00032,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C00033,-88.29,0.5,-1,,,,,,,
C00034,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C00035,-516.3,2.74314,-2,,,,,,,
C00036,-190.52,0.350545,-2,,,,,,,
C00037,-87.73,0.241756,0,,,,,,,
C00038,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C00039,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00040,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00041,-87.92,0.293304,0,,,,,,,
C00042,-162.96,0.283054,-2,,,,,,,
C00043,-756.9,3.23624,-2,,,,,,,
C00044,-724.3,2.75126,-3,,,,,,,
C00045,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00046,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00047,-84.04,0.559228,1,,,,,,,
C00048,-111.04,0.269641,-1,,,,,,,
C00049,-165.75,0.3447,-1,,,,,,,
C00050,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00051,-220.954,1.54405,-1,,,,,,,
C00052,-762.55,3.11975,-2,,,,,,,
C00053,-580.35,3.10735,-3,,,,,,,
C00054,-470.35,3.03799,-2,,,,,,,
C00055,-345.38,1.91544,-1,,,,,,,
C00058,-83.9,0.5,-1,,,,,,,
C00059,-177.97,0.5,-2,,,,,,,
C00060,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00061,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C00062,-73.77,1.56283,1,,,,,,,
C00063,-761.38,1.93092,-3,,,,,,,
C00064,-121.69,0.606668,0,,,,,,,
C00065,-124.15,0.312619,0,,,,,,,
C00066,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
