ENTRY,NAMES,LITERATURE  ÆfG'¡,ESTIMATED ÆfG'¡,SEÆfG'¡,SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,o2|oxygen|,3.92,3.92,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,pi|phosphate|,-261.97,-261.97,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,diphosphate|pyrophosphate|ppi|,-480.93,-480.93,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ammonia|nh4|,-18.96,-18.97,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ammonia|nh4|,-19,-18.97,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AMP|,-257.9,-257.85,3.03,"Alberty, 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AMP|,-257.85,-257.85,3.03,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,pyruvate|pyr|,-112.9,-112.69,0.30,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,pyruvate|pyr|,-113.4,-112.69,0.30,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,alpha-ketoglutarate|akg|,-189.6,-188.90,0.38,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,alpha-ketoglutarate|akg|,-190.6,-188.90,0.38,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,H2O2|,-32,-32.05,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,H2O2|,-32.1,-32.05,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,oxaloacetate|oaa|,-189.6,-190.52,0.35,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,oxaloacetate|oaa|,-190.5,-190.52,0.35,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
