ENTRY,DELTAG,UNCERTAINTY,REASON ENERGY COULD NOT BE ESTIMATED
R00001,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R00002,Not calculated,Not calculated,Involves unknown structures
R00004,-5.391,1.22474,
R00005,-9.623,1.77593,
R00006,10.53,0.730313,
R00008,3.17,0.436072,
R00009,-45.3543,1.5,
R00010,-3.113,0.692797,
R00011,Not calculated,Not calculated,Charge imbalanced
R00012,1.07,0.746895,
R00013,-10.57,0.680043,
R00014,-6.87,0.764453,
R00015,0,2,
R00016,0,2,
R00017,Not calculated,Not calculated,Involves unknown structures
R00018,-0.52,1.10166,
R00019,Not calculated,Not calculated,Involves unknown structures
R00021,Not calculated,Not calculated,Involves unknown structures
R00022,-3.113,0.692797,
R00023,18.4708,6.85004,
R00024,-7.913,0.762682,
R00025,Not calculated,Not calculated,Involves groups with unknown energies
R00026,-3.113,0.692797,
R00027,2.47,0.486692,
R00028,-3.113,0.692797,
R00029,Not calculated,Not calculated,Involves unknown structures
R00031,-82.8797,0.886587,
R00032,-87.4597,1.50755,
R00033,-26.4897,0.741944,
R00034,Not calculated,Not calculated,Charge imbalanced
R00035,-103.894,3.00501,
R00036,-15.304,1.69176,
R00038,-4.02,0.423402,
R00039,0,2,
R00040,-98.3337,1.20496,
R00041,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R00042,-136.56,1.23027,
R00043,-83.7797,1.2347,
R00044,-121.354,4.76983,
R00045,-79.7337,3.53462,
R00047,-83.0797,1.26222,
R00048,-2.143,0.675486,
R00049,0,2,
R00052,Not calculated,Not calculated,Involves unknown structures
R00053,-2.143,0.675486,
R00054,-2.143,0.675486,
R00055,-98.3337,1.20496,
R00056,-9.313,0.746895,
R00057,-102.938,3.67178,
R00058,-82.1737,3.60255,
R00059,-0.463,0.848213,
R00060,Not calculated,Not calculated,Involves unknown structures
R00061,Not calculated,Not calculated,Involves unknown structures
R00062,0,2,
R00063,0,2,
R00064,-8.55,2.73382,
R00066,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R00067,Not calculated,Not calculated,Involves unknown structures
R00068,-103.894,3.00501,
R00069,134.22,2.30498,
R00070,-84.1137,5.30316,
R00071,82.8797,0.886587,
R00072,-41.5127,0.888379,
R00073,-50.3197,0.957004,
R00074,-286.301,7.35181,
R00075,-34.08,6.66635,
R00076,Not calculated,Not calculated,Involves unknown structures
R00077,Not calculated,Not calculated,Involves unknown structures
R00078,-8.1737,3.04138,
R00080,-264.921,7.47911,
R00081,Not calculated,Not calculated,Involves unknown structures
R00082,Not calculated,Not calculated,Involves unknown structures
R00083,Not calculated,Not calculated,Charge imbalanced
R00084,-25.973,2.61392,
R00085,-13.634,1.43511,
R00086,-6.817,0.717554,
R00087,-8.243,0.748021,
R00088,-8.483,1.31518,
R00089,1.05,2.1824,
R00090,-77.064,1.53103,
R00091,2.918,2.03765,
R00092,50.3,1.75899,
R00093,13.41,1.24978,
R00094,2.918,2.03765,
R00095,Not calculated,Not calculated,Charge imbalanced
R00097,Not calculated,Not calculated,Charge imbalanced|Involves compounds with unlabeded atoms
R00098,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R00099,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R00100,Not calculated,Not calculated,Involves unknown structures
R00101,Not calculated,Not calculated,Involves unknown structures
R00102,-3.673,1.02208,
R00103,-9.313,0.746895,
R00104,-4.5,0.23673,
R00105,-4.5,0.23673,
R00106,Not calculated,Not calculated,Involves unknown structures
R00107,Not calculated,Not calculated,Charge imbalanced|Involves compounds with unlabeded atoms
R00108,Not calculated,Not calculated,Involves unknown structures
R00109,Not calculated,Not calculated,Involves unknown structures
R00110,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R00111,Not calculated,Not calculated,Charge imbalanced|Involves compounds with unlabeded atoms
R00112,0,2,
R00113,-77.064,1.53103,
R00114,13.41,1.24978,
R00115,2.918,2.03765,
R00116,2.918,2.03765,
R00118,-2.317,0.735634,
R00119,-3.673,1.02208,
R00120,-28.7917,1.88626,
R00121,Not calculated,Not calculated,Charge imbalanced
R00122,-6.817,0.717554,
R00123,-8.483,1.31518,
R00124,0,2,
R00125,-9.313,0.746895,
R00126,2.496,0.736864,
R00127,0,2,
R00128,-6.817,0.717554,
R00129,-13.104,0.855465,
R00130,-4.5,0.23673,
R00131,-5.753,1.32288,
R00132,0.843,0.866025,
R00134,-3.09,1.26256,
R00135,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R00136,Not calculated,Not calculated,Involves groups with unknown energies
R00137,1.07,0.746895,
R00138,Not calculated,Not calculated,Involves groups with unknown energies
R00139,0,2,
R00140,0,2,
R00141,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies
R00143,22.9716,1.49308,
R00144,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R00145,9.927,1.339,
R00146,9.927,1.339,
R00147,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R00148,Not calculated,Not calculated,Charge imbalanced
R00149,-7.377,1.16074,
R00150,-0.56,0.895919,
R00152,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R00153,Not calculated,Not calculated,Involves unknown structures
R00155,-6.817,0.717554,
R00156,0,2,
R00157,0,2,
R00158,0,2,
R00159,-6.817,0.717554,
R00160,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R00161,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R00162,Not calculated,Not calculated,Involves unknown structures
R00164,Not calculated,Not calculated,Involves unknown structures
R00165,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R00166,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies
R00167,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves groups with unknown energies
R00168,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies
R00169,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies
R00170,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies
R00171,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R00172,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R00173,-2.317,0.735634,
R00174,-4.5,0.23673,
R00175,-7.473,2.23964,
R00177,3.087,2.36324,
R00178,-3.09,0.5417,
R00179,-3.05,2.76738,
R00180,1.85,2.39306,
R00181,-8.483,1.31518,
R00182,-0.733,0.964152,
R00183,-2.317,0.735634,
R00184,-9.313,0.746895,
R00185,-4.5,0.23673,
R00186,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R00187,-9.313,0.746895,
R00188,-2.317,0.735634,
R00189,-3.52,0.913741,
R00190,3.01,0.976667,
R00191,-9.293,2.16871,
R00192,5.673,1.10362,
R00193,3.707,0.790846,
R00194,-0.733,0.964152,
R00195,-3.803,1.22754,
R00196,Not calculated,Not calculated,Involves unknown structures
